Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
403,"[np.int64(3), np.int64(3), 2, np.int64(3), 1, np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  0.86746994  5.56174672 13.07913508]
  [-1.64506231 12.15706712 -1.7028651   1.00322401]
  [-0.86350971 15.38795643 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.12278484]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.50006419]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74260959 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99945098]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 13.68119148]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
404,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), 3, np.int64(1), np.int64(1)]",13,9,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  0.86746994  5.56174672 13.07913508]
  [-1.64506231 12.15706712 -1.7028651   1.00322401]
  [-0.86350971 15.38795643 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.12278484]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.50006419]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74260959 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99945098]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
405,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  0.86746994  5.56174672 13.07913508]
  [-1.64506231 12.15706712 -1.7028651   1.00322401]
  [-0.86350971 15.38795643 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.12278484]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.50006419]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74260959 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99945098]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
406,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), 1]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  0.86746994  5.56174672 13.07913508]
  [-1.64506231 12.15706712 -1.7028651   1.00322401]
  [-0.86350971 15.38795643 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.12278484]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.50006419]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74260959 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99945098]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
407,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  0.86746994  5.56174672 13.07913508]
  [-1.64506231 12.15706712 -1.7028651   1.00322401]
  [-0.86350971 15.38795643 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.12278484]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.50006419]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74260959 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99945098]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
408,"[np.int64(3), 2, np.int64(3), 1, np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",16,10,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
409,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), 3, np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 2.74824639 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
410,"[3, np.int64(3), np.int64(1), 0, np.int64(1), np.int64(3), np.int64(3), np.int64(1), 1, np.int64(1)]",16,10,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
411,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
412,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
413,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
414,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), 3, np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.13875925 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.17782144  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
415,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), 2, 2, np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",14,12,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.39096669 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.69906541  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
416,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.39096669 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.69906541  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
417,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.39096669 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.69906541  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
418,"[np.int64(3), np.int64(3), 1, np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.39096669 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.69906541  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
419,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 2.36634226 -0.20218429  3.22851496 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433  4.94393965]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    5.23429287]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 5.61995364  2.31973151  6.20557263 13.07913508]
  [-1.64506231 12.37629084 -1.7028651   1.00322401]
  [-0.86350971 15.51225981 -1.27543704  0.67749657]
  [ 2.18020439 -0.67158462 -0.94548223 18.17562626]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 5.0725389  14.82014219  9.49853118  3.56667972]
  [ 4.29787969 10.49812982  6.67288158 16.65278125]
  [-0.78658965 -0.66604122  0.94100758 16.62742161]
  [ 0.40034264  0.4533597   1.01459427 20.51587643]
  [-0.298875   -0.75       -0.33825844 11.13838553]]

 [[-1.494375   13.18344689 -0.99069634  2.14582823]
  [ 4.95732761 12.37285983 13.39096669 18.581875  ]
  [-0.61251787  2.58050655 -0.50978474 20.50039678]
  [-0.3879379  22.74363992 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99953333]]

 [[-0.75       13.24193493 -0.82262341 -1.408875  ]
  [ 2.79021587 20.6125     13.69906541  5.16618726]
  [15.08300699 22.75        8.68983332 14.12088776]
  [14.80785536 25.         16.82321719 12.73679181]
  [ 0.          0.          0.          0.        ]]]"
